day_of_week,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
Friday,5.73850668405608,0.9129442451907401,0.6194978806651451,0.358656667753505,7.499184871209651,21.910661884577763,1.6302575806977502,1.17378545810238,2.6736224323443105,3.0648842517117707,0.9129442451907401,7.597000326051516,4.727746984023476,15.911313987610043,2.0541245516791653,1.1411803064884252,9.422888816432996,5.021193348549071,1.6628627323117053,5.966742745353766
Monday,5.555555555555555,0.4548408057179987,0.16244314489928524,0.1949317738791423,9.161793372319687,23.55425601039636,1.916829109811566,1.0071474983755686,2.599090318388564,3.216374269005848,0.5847953216374269,6.140350877192982,4.061078622482131,16.63417803768681,1.8193632228719947,1.267056530214425,8.966861598440545,5.977907732293697,1.6894087069525665,5.035737491877843
Saturday,5.6806550665301945,0.5629477993858751,0.5629477993858751,0.255885363357216,6.499488229273285,25.025588536335718,1.7400204708290685,1.1258955987717503,2.7635619242579326,4.247697031729785,0.46059365404298874,6.1924257932446265,3.8894575230296824,17.75844421699079,2.2517911975435005,1.1258955987717503,6.09007164790174,6.499488229273285,0.9723643807574206,6.294779938587512
Sunday,5.448884276076804,1.1935651271406331,0.7784120394395433,0.3113648157758173,6.7462376751427096,24.85729112610275,1.4530358069538143,0.7784120394395433,3.5288012454592628,3.788271925272444,0.46704722366372603,2.9060716139076286,4.099636741048261,16.34665282823041,2.2833419823559935,0.8822003113648157,9.911779968863518,6.7462376751427096,0.9340944473274521,6.538661131292164
Thursday,5.599755201958384,0.36719706242350064,0.4589963280293758,0.397796817625459,9.149326805385558,22.00122399020808,2.203182374541004,1.6523867809057526,2.631578947368421,3.4577723378212974,0.42839657282741733,7.527539779681762,5.477356181150551,14.075887392900857,2.203182374541004,1.193390452876377,9.271725826193391,4.651162790697675,1.9583843329253363,5.2937576499388
Tuesday,6.6006600660066,0.297029702970297,0.36303630363036304,0.36303630363036304,7.854785478547854,23.63036303630363,1.9801980198019802,1.3201320132013201,3.2343234323432344,3.036303630363036,0.7260726072607261,5.478547854785479,5.445544554455446,13.927392739273929,2.6402640264026402,0.957095709570957,8.217821782178218,6.03960396039604,1.518151815181518,6.36963696369637
Wednesday,6.523765144454799,0.3417210313762038,0.12426219322771047,0.24852438645542094,10.127368748058403,22.429325877601737,1.7707362534948743,1.5843429636533086,3.075489282385834,3.075489282385834,0.6834420627524076,6.368437402920161,5.250077663870767,13.544579061820441,2.764833799316558,0.8387698042870456,8.636222429325878,4.877291084187636,1.7396707051879468,5.99565082323703
