outlet_name,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
CCTV (China Central Television),25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN ,4.861111111111112,2.083333333333333,0.3472222222222222,0.0,13.541666666666666,29.86111111111111,1.3888888888888888,0.6944444444444444,0.6944444444444444,0.0,0.0,6.597222222222222,7.638888888888889,13.541666666666666,1.3888888888888888,0.3472222222222222,10.76388888888889,1.7361111111111112,0.6944444444444444,3.8194444444444446
Carnegie Endowment for International Peace publications,6.694560669456067,0.0,0.0,0.41841004184100417,5.857740585774058,18.410041841004183,0.41841004184100417,0.0,2.510460251046025,5.439330543933055,0.0,7.531380753138076,13.807531380753138,8.786610878661087,7.112970711297072,2.092050209205021,11.715481171548117,3.3472803347280333,1.6736401673640167,4.184100418410042
Channel 4 News,2.1739130434782608,0.0,0.0,0.0,0.0,47.82608695652174,0.0,0.0,1.0869565217391304,0.0,0.0,8.695652173913043,1.0869565217391304,25.0,0.0,1.0869565217391304,7.608695652173914,1.0869565217391304,3.260869565217391,1.0869565217391304
China Daily,6.341463414634147,0.0,0.0,0.0,10.731707317073171,39.02439024390244,0.4878048780487805,0.4878048780487805,0.0,0.975609756097561,0.0,3.414634146341464,0.0,12.195121951219512,1.4634146341463417,0.0,10.24390243902439,7.317073170731707,0.0,7.317073170731707
Council on Foreign Relations,1.7543859649122806,2.631578947368421,0.0,0.8771929824561403,8.771929824561402,20.175438596491226,8.771929824561402,1.3157894736842104,1.7543859649122806,1.7543859649122806,0.43859649122807015,7.456140350877193,2.1929824561403506,11.403508771929824,7.894736842105263,2.1929824561403506,5.701754385964912,4.824561403508771,2.631578947368421,7.456140350877193
Daily Mail,2.272727272727273,2.5,0.0,0.22727272727272727,6.8181818181818175,20.681818181818183,0.45454545454545453,0.22727272727272727,10.0,7.727272727272727,0.22727272727272727,2.0454545454545454,2.727272727272727,22.727272727272727,2.9545454545454546,1.8181818181818181,6.363636363636363,2.727272727272727,1.5909090909090908,5.909090909090909
Dawn,7.722007722007722,0.0,0.0,0.0,13.8996138996139,34.74903474903475,3.088803088803089,0.0,2.7027027027027026,0.7722007722007722,0.0,2.3166023166023164,1.9305019305019304,13.127413127413126,1.1583011583011582,0.0,9.652509652509652,5.405405405405405,0.7722007722007722,2.7027027027027026
Der Spiegel,0.0,0.0,0.0,0.0,6.0606060606060606,24.242424242424242,0.0,0.0,9.090909090909092,0.0,0.0,3.0303030303030303,6.0606060606060606,48.484848484848484,0.0,0.0,0.0,3.0303030303030303,0.0,0.0
Deutsche Welle,3.9906103286384975,0.2347417840375587,1.8779342723004695,1.643192488262911,1.8779342723004695,19.953051643192488,0.9389671361502347,5.633802816901409,1.1737089201877933,6.103286384976526,1.643192488262911,7.042253521126761,11.502347417840376,10.56338028169014,0.9389671361502347,0.7042253521126761,12.910798122065728,4.929577464788732,3.286384976525822,3.051643192488263
El Mundo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
El País,12.903225806451612,0.0,0.0,0.0,9.032258064516128,24.516129032258064,0.0,0.6451612903225806,1.935483870967742,3.870967741935484,0.0,2.258064516129032,4.516129032258064,10.0,1.935483870967742,0.967741935483871,7.741935483870968,9.032258064516128,1.2903225806451613,9.35483870967742
Evening Standard,2.643171806167401,0.4405286343612335,0.0,0.0,14.096916299559473,36.56387665198238,0.0,0.0,3.524229074889868,1.3215859030837005,0.4405286343612335,0.4405286343612335,2.2026431718061676,11.013215859030836,2.2026431718061676,0.0,13.215859030837004,3.0837004405286343,0.0,8.81057268722467
Financial Times,2.785515320334262,0.8356545961002786,0.8356545961002786,0.0,4.456824512534819,17.548746518105848,1.6713091922005572,1.392757660167131,3.064066852367688,11.142061281337048,6.963788300835655,2.2284122562674096,9.192200557103064,20.61281337047354,3.064066852367688,1.9498607242339834,1.9498607242339834,1.9498607242339834,2.5069637883008355,5.8495821727019495
Foreign Affairs,2.4539877300613497,0.0,0.0,0.0,4.9079754601226995,30.67484662576687,1.8404907975460123,0.0,1.2269938650306749,2.4539877300613497,0.0,7.975460122699387,4.294478527607362,19.018404907975462,0.6134969325153374,1.8404907975460123,7.975460122699387,1.8404907975460123,4.294478527607362,8.588957055214724
Foreign Policy,1.834862385321101,2.7522935779816518,0.9174311926605505,0.0,9.174311926605505,29.357798165137616,2.293577981651376,4.128440366972478,1.3761467889908259,3.669724770642202,0.0,3.669724770642202,7.339449541284404,10.550458715596331,1.834862385321101,0.0,8.256880733944955,4.587155963302752,4.128440366972478,4.128440366972478
Fox News,5.526315789473684,0.5263157894736842,0.2631578947368421,0.0,16.57894736842105,24.47368421052632,3.1578947368421053,0.5263157894736842,4.473684210526316,0.0,0.5263157894736842,6.578947368421052,1.0526315789473684,12.368421052631579,1.0526315789473684,0.5263157894736842,13.421052631578947,5.0,1.0526315789473684,2.8947368421052633
France 24,1.7241379310344827,0.8620689655172413,3.7356321839080464,2.2988505747126435,4.597701149425287,18.96551724137931,4.022988505747127,4.597701149425287,0.5747126436781609,2.8735632183908044,0.5747126436781609,7.183908045977011,11.781609195402298,10.344827586206897,2.0114942528735633,0.28735632183908044,15.229885057471265,3.1609195402298855,1.7241379310344827,3.4482758620689653
Global Times,3.125,0.0,0.0,0.0,3.125,50.625,1.25,0.0,0.625,3.125,0.0,6.875000000000001,0.625,10.625,0.0,0.0,13.125,4.375,0.625,1.875
Haaretz ,13.27683615819209,0.0,0.0,0.0,15.819209039548024,19.2090395480226,0.847457627118644,0.0,3.389830508474576,1.4124293785310735,0.0,3.1073446327683616,4.80225988700565,6.497175141242938,3.1073446327683616,1.4124293785310735,11.299435028248588,5.084745762711865,1.977401129943503,8.757062146892656
Human Rights Watch reports,23.076923076923077,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,0.0,15.384615384615385,7.6923076923076925,23.076923076923077,0.0
IRNA (Islamic Republic News Agency),3.125,0.0,0.0,0.0,0.0,59.375,6.25,0.0,6.25,3.125,0.0,0.0,3.125,3.125,3.125,0.0,3.125,0.0,0.0,9.375
ITV News,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,11.11111111111111,0.0,0.0,11.11111111111111
Institute for International Strategic Studies (IISS) publications,8.461538461538462,0.0,0.0,0.0,4.615384615384616,7.6923076923076925,5.384615384615385,0.0,1.5384615384615385,0.7692307692307693,0.0,23.846153846153847,3.076923076923077,23.076923076923077,0.7692307692307693,0.0,12.307692307692308,6.153846153846154,1.5384615384615385,0.7692307692307693
Interfax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
International Affairs,3.125,0.0,0.0,9.375,12.5,12.5,0.0,3.125,3.125,3.125,0.0,15.625,0.0,18.75,0.0,0.0,3.125,12.5,0.0,3.125
International Crisis Group reports,5.625,0.0,0.625,3.125,6.25,20.0,3.125,2.5,3.75,8.125,3.75,6.25,3.75,7.5,0.625,0.0,11.25,4.375,6.875000000000001,2.5
Jane’s Defence Weekly,33.33333333333333,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,40.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0
Just Security,8.29875518672199,0.0,0.0,0.4149377593360996,9.54356846473029,20.33195020746888,0.0,0.4149377593360996,8.29875518672199,2.0746887966804977,0.0,7.468879668049793,1.2448132780082988,9.54356846473029,2.4896265560165975,2.4896265560165975,6.224066390041494,13.278008298755188,2.0746887966804977,5.809128630705394
La Croix,3.9603960396039604,0.0,0.0,0.9900990099009901,5.9405940594059405,38.613861386138616,0.0,0.9900990099009901,0.49504950495049505,2.9702970297029703,0.0,1.9801980198019802,1.9801980198019802,28.71287128712871,0.49504950495049505,0.0,7.425742574257425,1.4851485148514851,3.9603960396039604,0.0
La Razón,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
La Vanguardia,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawfare Blog,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0
Le Figaro,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Le Monde,6.5009560229445515,0.19120458891013384,0.3824091778202677,0.0,8.604206500956023,14.91395793499044,0.19120458891013384,3.632887189292543,7.265774378585086,4.97131931166348,0.3824091778202677,3.0592734225621414,9.177820267686425,8.98661567877629,2.48565965583174,0.19120458891013384,6.118546845124283,7.839388145315487,4.2065009560229445,10.89866156787763
Libération,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
Los Angeles Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mediapart,0.0,0.0,0.0,0.0,0.0,26.923076923076923,0.0,0.0,38.46153846153847,0.0,0.0,0.0,0.0,26.923076923076923,0.0,0.0,0.0,7.6923076923076925,0.0,0.0
Metro,15.343915343915343,0.5291005291005291,0.0,0.0,1.5873015873015872,41.7989417989418,1.0582010582010581,0.0,0.5291005291005291,0.5291005291005291,0.0,0.0,2.1164021164021163,13.756613756613756,1.5873015873015872,0.5291005291005291,5.82010582010582,11.11111111111111,0.0,3.7037037037037033
