publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity
2005-04-22 00:00:00,67,1,0.0631965368576291,positive,0.0631965368576291
2005-05-08 00:00:00,67,1,0.0012897892705584,neutral,0.0012897892705584
2005-05-16 00:00:00,67,14,-0.1,negative,0.1
2005-07-28 00:00:00,39,14,0.0788567493112947,positive,0.0788567493112947
2005-08-15 00:00:00,39,14,-0.0168953358469487,neutral,0.0168953358469487
2005-09-29 00:00:00,83,1,,neutral,
2005-09-29 00:00:00,83,14,0.0746598639455782,positive,0.0746598639455782
2005-12-12 00:00:00,67,1,0.0884408602150537,positive,0.0884408602150537
2005-12-15 00:00:00,67,1,0.0326743197278911,neutral,0.0326743197278911
2005-12-28 00:00:00,67,1,0.0214254272740511,neutral,0.0214254272740511
2006-01-26 00:00:00,39,14,0.1464285714285714,positive,0.1464285714285714
2006-02-02 00:00:00,46,14,0.0,neutral,0.0
2006-02-02 00:00:00,106,14,,neutral,
2006-02-08 00:00:00,76,14,-0.0460984848484848,neutral,0.0460984848484848
2006-02-13 00:00:00,76,14,,neutral,
2006-03-01 00:00:00,75,14,0.0773943940382296,neutral,0.0773943940382296
2006-03-02 00:00:00,76,14,0.0302231183507334,neutral,0.0302231183507334
2006-03-09 00:00:00,22,14,0.2206349206349206,positive,0.2206349206349206
2006-03-15 00:00:00,9,1,0.0714043942168941,positive,0.0714043942168941
2006-03-15 00:00:00,26,1,0.0102272727272727,neutral,0.0102272727272727
2006-03-20 00:00:00,39,14,0.0612499999999999,positive,0.0612499999999999
2006-03-30 00:00:00,39,1,0.0424653587153587,neutral,0.0424653587153587
2006-04-29 00:00:00,31,14,0.0478421079638752,neutral,0.0478421079638752
2006-05-02 00:00:00,103,1,,neutral,
2006-05-19 00:00:00,106,14,-0.0620313466295609,negative,0.0620313466295609
2006-06-04 00:00:00,7,14,0.0376370851370851,neutral,0.0376370851370851
2006-06-15 00:00:00,39,14,,neutral,
2006-07-13 00:00:00,76,14,0.0359649122807017,neutral,0.0359649122807017
2006-07-25 00:00:00,26,1,0.0571988356471115,positive,0.0571988356471115
2006-08-03 00:00:00,85,14,0.0006410256410256,neutral,0.0006410256410256
2006-08-11 00:00:00,106,14,,neutral,
2006-08-17 00:00:00,39,14,0.0344975048100048,neutral,0.0344975048100048
2006-10-11 00:00:00,76,1,0.0522182420426222,positive,0.0522182420426222
2006-10-11 00:00:00,76,14,,neutral,
2006-11-02 00:00:00,39,14,0.0540849673202614,positive,0.0540849673202614
2006-11-16 00:00:00,39,14,0.0769999999999999,positive,0.0769999999999999
2006-12-17 00:00:00,43,14,0.1099206349206349,positive,0.1099206349206349
2007-01-25 00:00:00,7,14,0.0598879475093317,positive,0.0598879475093317
2007-02-14 00:00:00,106,14,0.0482635800272786,neutral,0.0482635800272786
2007-05-01 00:00:00,85,14,0.0338370261757358,neutral,0.0338370261757358
