publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity,article_count,normalized_sentiment
2004-09-04 00:00:00,67,1,-0.08009828009828,negative,0.08009828009828,1,-0.08009828009828
2004-09-06 00:00:00,67,1,0.0575757575757575,positive,0.0575757575757575,1,0.0575757575757575
2004-10-18 00:00:00,76,14,,neutral,,1,
2004-11-01 00:00:00,75,14,0.0089015151515151,neutral,0.0089015151515151,1,0.0089015151515151
2004-11-11 00:00:00,67,14,0.06891439909297051,neutral,0.0727522675736961,3,0.0229714663643235
2004-11-11 00:00:00,75,14,,neutral,,3,
2004-11-17 00:00:00,85,14,0.0580643166357452,positive,0.0580643166357452,1,0.0580643166357452
2004-12-06 00:00:00,67,1,0.24375,positive,0.24375,1,0.24375
2004-12-14 00:00:00,67,1,0.0424899174899175,neutral,0.0424899174899175,1,0.0424899174899175
2004-12-23 00:00:00,67,1,-0.0098011363636363,neutral,0.0098011363636363,1,-0.0098011363636363
2004-12-28 00:00:00,67,1,0.0537082038615781,positive,0.0537082038615781,1,0.0537082038615781
2005-01-01 00:00:00,75,14,,neutral,,1,
2005-02-09 00:00:00,39,14,0.0566666666666666,positive,0.0566666666666666,1,0.0566666666666666
2005-02-24 00:00:00,67,1,-0.0454377104377104,neutral,0.0454377104377104,1,-0.0454377104377104
2005-03-16 00:00:00,75,14,0.0365712518773743,neutral,0.0365712518773743,1,0.0365712518773743
2005-03-20 00:00:00,67,1,-0.0794394841269841,negative,0.0794394841269841,1,-0.0794394841269841
2005-04-22 00:00:00,67,1,0.0631965368576291,positive,0.0631965368576291,1,0.0631965368576291
2005-05-08 00:00:00,67,1,0.0012897892705584,neutral,0.0012897892705584,1,0.0012897892705584
2005-05-16 00:00:00,67,14,-0.1,negative,0.1,1,-0.1
2005-07-28 00:00:00,39,14,0.0788567493112947,positive,0.0788567493112947,1,0.0788567493112947
2005-08-15 00:00:00,39,14,-0.0168953358469487,neutral,0.0168953358469487,1,-0.0168953358469487
2005-09-29 00:00:00,83,1,,neutral,,1,
2005-09-29 00:00:00,83,14,0.0746598639455782,positive,0.0746598639455782,1,0.0746598639455782
2005-12-12 00:00:00,67,1,0.0884408602150537,positive,0.0884408602150537,1,0.0884408602150537
2005-12-15 00:00:00,67,1,0.0326743197278911,neutral,0.0326743197278911,1,0.0326743197278911
2005-12-28 00:00:00,67,1,0.0214254272740511,neutral,0.0214254272740511,1,0.0214254272740511
2006-01-26 00:00:00,39,14,0.1464285714285714,positive,0.1464285714285714,1,0.1464285714285714
2006-02-02 00:00:00,46,14,0.0,neutral,0.0,2,0.0
2006-02-02 00:00:00,106,14,,neutral,,2,
2006-02-08 00:00:00,76,14,-0.0460984848484848,neutral,0.0460984848484848,1,-0.0460984848484848
2006-02-13 00:00:00,76,14,,neutral,,1,
2006-03-01 00:00:00,75,14,0.0773943940382296,neutral,0.0773943940382296,3,0.025798131346076534
2006-03-02 00:00:00,76,14,0.0302231183507334,neutral,0.0302231183507334,1,0.0302231183507334
2006-03-09 00:00:00,22,14,0.2206349206349206,positive,0.2206349206349206,1,0.2206349206349206
2006-03-15 00:00:00,9,1,0.0714043942168941,positive,0.0714043942168941,2,0.03570219710844705
2006-03-15 00:00:00,26,1,0.0102272727272727,neutral,0.0102272727272727,2,0.00511363636363635
2006-03-20 00:00:00,39,14,0.0612499999999999,positive,0.0612499999999999,1,0.0612499999999999
2006-03-30 00:00:00,39,1,0.0424653587153587,neutral,0.0424653587153587,1,0.0424653587153587
2006-04-29 00:00:00,31,14,0.0478421079638752,neutral,0.0478421079638752,1,0.0478421079638752
2006-05-02 00:00:00,103,1,,neutral,,1,
