month_year,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
2023-07,12.352941176470589,1.1764705882352942,0.29411764705882354,0.0,8.235294117647058,0.0,0.5882352941176471,1.4705882352941175,4.705882352941177,15.588235294117647,0.29411764705882354,7.352941176470589,1.1764705882352942,10.0,11.76470588235294,1.1764705882352942,10.588235294117647,7.647058823529412,2.0588235294117645,3.5294117647058822
2023-08,12.67361111111111,0.78125,0.4340277777777778,0.1736111111111111,6.076388888888888,0.3472222222222222,2.7777777777777777,1.128472222222222,7.552083333333333,13.194444444444445,0.3472222222222222,5.034722222222222,1.7361111111111112,12.413194444444445,2.430555555555556,2.083333333333333,9.288194444444445,11.197916666666668,7.118055555555555,3.2118055555555554
2023-09,9.037711313394018,0.26007802340702213,0.45513654096228867,0.3250975292587776,5.201560468140442,0.7802340702210664,2.7308192457737324,1.1053315994798438,12.548764629388817,5.526657997399219,0.13003901170351106,4.486345903771132,19.89596879063719,10.598179453836151,2.795838751625488,1.6905071521456438,8.712613784135241,8.257477243172952,2.4057217165149547,3.05591677503251
2023-10,14.444444444444443,0.03831417624521073,0.07662835249042146,0.0,7.35632183908046,32.83524904214559,1.417624521072797,1.1111111111111112,2.260536398467433,2.3371647509578546,0.22988505747126436,1.992337164750958,5.019157088122606,4.521072796934866,2.0306513409961684,0.5747126436781609,4.75095785440613,14.329501915708812,1.1494252873563218,3.524904214559387
2023-11,15.281030444964872,0.29274004683840754,0.117096018735363,0.234192037470726,9.77751756440281,22.716627634660423,1.1124121779859486,1.405152224824356,2.0491803278688523,2.75175644028103,0.29274004683840754,6.030444964871194,2.2833723653395785,5.679156908665106,3.337236533957846,0.6440281030444965,6.791569086651054,12.646370023419204,2.693208430913349,3.864168618266979
2023-12,12.243453644727529,0.21231422505307856,0.3538570417551309,0.14154281670205238,8.9171974522293,13.800424628450106,2.335456475583864,2.6185421089879686,2.7600849256900215,3.8924274593064405,0.21231422505307856,5.661712668082094,3.043170559094126,9.766454352441615,2.7600849256900215,1.48619957537155,9.200283085633403,9.62491153573956,2.1231422505307855,8.846426043878273
2024-01,12.068965517241379,0.11494252873563218,0.1724137931034483,0.1724137931034483,9.080459770114944,10.402298850574713,1.7241379310344827,0.9195402298850575,2.8735632183908044,3.045977011494253,0.5172413793103449,5.344827586206897,1.3218390804597702,8.96551724137931,3.218390804597701,0.8620689655172413,6.321839080459771,13.793103448275861,2.2988505747126435,16.7816091954023
2024-02,12.119328775637042,0.0,0.1243008079552517,0.4972032318210068,7.147296457426973,9.01180857675575,1.5537600994406464,2.175264139216905,1.8645121193287757,3.2318210068365447,0.3107520198881293,4.785581106277191,2.4238657551274083,23.803604723430702,3.2939714108141707,1.0565568676196395,7.395898073337477,11.24922311995028,2.7346177750155376,5.220633934120572
2024-03,13.481584433634469,0.8339124391938846,0.13898540653231412,0.13898540653231412,7.713690062543432,9.103544127866574,1.8763029881862403,0.6949270326615705,2.223766504517026,2.9881862404447532,1.250868658790827,5.281445448227936,1.7373175816539264,16.74774148714385,3.6136205698401667,1.111883252258513,10.562890896455873,12.647671994440584,2.432244614315497,5.420430854760251
2024-04,11.08695652173913,0.47826086956521735,0.6086956521739131,0.0,16.869565217391305,13.130434782608697,1.0869565217391304,1.0869565217391304,2.8260869565217392,2.4782608695652173,0.34782608695652173,5.739130434782608,1.956521739130435,9.608695652173912,3.0869565217391304,1.391304347826087,8.826086956521738,14.304347826086957,1.434782608695652,3.6521739130434785
2024-05,12.717291857273558,1.052150045745654,0.18298261665141813,0.04574565416285453,11.024702653247942,20.951509606587372,1.8298261665141813,0.6404391582799633,2.607502287282708,2.5617566331198534,0.6861848124428179,4.94053064958829,1.463860933211345,16.010978956999086,2.058554437328454,0.5946935041171089,7.639524245196706,8.554437328453798,1.2351326623970724,3.2021957913998174
2024-06,13.09823677581864,1.1335012594458438,0.12594458438287154,0.12594458438287154,6.738035264483627,7.87153652392947,1.322418136020151,0.3148614609571789,2.455919395465995,2.5818639798488663,0.3778337531486146,6.486146095717885,1.7632241813602016,20.151133501259448,3.0856423173803527,1.0075566750629723,10.453400503778337,11.964735516372796,1.5113350125944585,7.43073047858942
2024-07,6.446776611694154,0.3373313343328336,0.11244377811094453,0.07496251874062969,3.9355322338830585,7.796101949025487,0.712143928035982,0.6371814092953523,2.3238380809595203,1.8365817091454275,0.1874062968515742,3.223388305847077,0.5622188905547226,50.86206896551724,1.1619190404797601,0.4122938530734633,3.335832083958021,10.344827586206897,0.4122938530734633,5.284857571214393
