country,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
Australia,1.8433179723502304,0.0,0.0,0.0,7.373271889400922,45.16129032258064,0.4608294930875576,0.0,2.7649769585253456,0.9216589861751152,0.0,5.0691244239631335,0.4608294930875576,27.64976958525346,0.0,1.3824884792626728,2.7649769585253456,1.8433179723502304,0.0,2.3041474654377883
Canada,4.957264957264957,0.17094017094017094,0.17094017094017094,0.0,6.495726495726497,33.16239316239316,1.1965811965811968,0.0,2.735042735042735,0.3418803418803419,0.0,7.0085470085470085,2.735042735042735,21.025641025641026,0.6837606837606838,1.5384615384615385,10.085470085470085,2.564102564102564,2.2222222222222223,2.905982905982906
China,9.153952843273231,0.13869625520110956,0.0,0.13869625520110956,4.715672676837725,37.447988904299585,0.4160887656033287,1.9417475728155338,0.27739251040221913,1.248266296809986,0.0,2.7739251040221915,0.27739251040221913,9.986130374479888,0.6934812760055479,0.27739251040221913,13.730929264909847,11.234396671289876,0.8321775312066574,4.715672676837725
France,4.03172504957039,0.2643754130865829,1.5862524785194978,1.1235955056179776,7.005948446794448,19.695968274950427,1.3879709187045606,4.03172504957039,3.6351619299405153,4.03172504957039,0.4626569729015202,3.767349636483807,8.790482485128882,12.55783212161269,2.247191011235955,0.3304692663582287,9.451421017845341,6.080634500991408,2.775941837409121,6.741573033707865
Germany,3.7037037037037033,0.2178649237472767,1.7429193899782136,1.5250544662309369,2.178649237472767,20.26143790849673,0.8714596949891068,5.228758169934641,1.7429193899782136,5.664488017429194,1.5250544662309369,6.753812636165578,11.11111111111111,13.28976034858388,0.8714596949891068,0.6535947712418301,11.982570806100219,4.793028322440087,3.0501089324618738,2.832244008714597
Hong Kong,2.6865671641791042,0.0,0.0,0.0,8.358208955223882,26.56716417910448,3.2835820895522385,0.0,4.179104477611941,1.791044776119403,0.0,8.955223880597014,5.074626865671641,14.328358208955224,2.3880597014925375,0.2985074626865672,5.970149253731343,3.582089552238806,1.791044776119403,10.746268656716417
India,5.681818181818182,0.0,0.1893939393939394,0.0,12.405303030303031,17.992424242424242,4.545454545454546,0.3787878787878788,1.9886363636363635,5.208333333333334,0.0946969696969697,10.606060606060606,1.5151515151515151,16.477272727272727,0.6628787878787878,1.1363636363636365,8.238636363636363,9.280303030303031,0.5681818181818182,3.0303030303030303
International,4.213483146067416,0.0,0.2808988764044944,1.6853932584269662,5.8988764044943816,19.9438202247191,1.6853932584269662,2.528089887640449,5.617977528089887,5.617977528089887,1.6853932584269662,5.8988764044943816,3.089887640449438,10.674157303370785,2.528089887640449,0.8426966292134831,10.112359550561797,5.056179775280898,6.741573033707865,5.8988764044943816
Iran,9.531013615733738,0.15128593040847202,0.0,0.0,4.236006051437216,23.600605143721634,3.7821482602118004,0.0,3.7821482602118004,1.8154311649016641,0.0,1.361573373676248,2.8744326777609683,14.826021180030258,2.118003025718608,0.15128593040847202,10.136157337367626,12.859304084720122,0.7564296520423601,8.018154311649017
Israel,9.587217043941411,0.0,0.13315579227696406,0.0,16.77762982689747,17.976031957390145,0.7989347536617843,0.13315579227696406,2.929427430093209,1.3315579227696404,0.13315579227696406,3.062583222370173,5.193075898801598,8.5219707057257,2.796271637816245,2.796271637816245,9.587217043941411,7.723035952063914,1.3315579227696404,9.187749667110518
